0.700000,5.000000,0.711688
0.700000,10.000000,0.733766
0.700000,15.000000,0.741558
0.700000,20.000000,0.716017
0.700000,25.000000,0.730303
0.700000,30.000000,0.716883
0.750000,5.000000,0.711458
0.750000,10.000000,0.738542
0.750000,15.000000,0.732292
0.750000,20.000000,0.743750
0.750000,25.000000,0.733333
0.750000,30.000000,0.734375
0.800000,5.000000,0.718831
0.800000,10.000000,0.724026
0.800000,15.000000,0.762987
0.800000,20.000000,0.734416
0.800000,25.000000,0.727273
0.800000,30.000000,0.722727
0.850000,5.000000,0.717241
0.850000,10.000000,0.706034
0.850000,15.000000,0.718966
0.850000,20.000000,0.729310
0.850000,25.000000,0.723276
0.850000,30.000000,0.729310
